System,Package,Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"Jenkins","hudson.security","ACL",14,0.12,1.50,58,0.90,24327.32,20,6,24,17,76,85.37,173,94,50.00,3,0.00,2,0,4,8,1,16,0.06,2.00,java.lang.Object,122.93,3,0,3,2714.56,0,578,0.00,21,10,71,0,4
"Jenkins","hudson.security","ACL$ACL",1,0.00,1.00,3,0.03,325.11,1,0,24,1,1,133.42,0,6,1.00,1,0.00,0,0,0,1,1,0,0.00,0.00,java.lang.Object,133.42,0,0,0,76.00,0,19,0.00,1,1,0,2,0
"Jenkins","hudson.security","ACL$Sid",1,0.00,1.00,3,0.01,99.66,1,0,24,1,0,137.46,0,6,1.00,1,0.00,0,0,0,0,1,0,0.00,0.00,java.lang.Object,137.46,0,0,0,33.22,0,10,0.00,1,1,0,5,0
"Jenkins","hudson.security","ACLContext",3,0.50,1.00,8,0.05,457.83,4,1,4,3,12,124.70,16,15,1.00,1,0.00,0,0,2,0,1,4,0.67,0.00,java.lang.Object,142.58,0,1,0,144.45,0,43,0.00,3,1,12,0,0
"Jenkins","hudson.security","ACLTest",1,0.00,1.00,11,0.17,3577.98,2,1,10,2,2,104.17,0,22,0.00,1,0.00,0,0,1,2,1,0,1.00,0.00,java.lang.Object,104.17,1,0,1,502.63,2,101,0.00,1,0,0,0,0
"Jenkins","hudson.security","ACLTest$DoNotBotherMe",2,0.00,1.00,5,0.08,1238.04,2,0,10,2,2,137.79,0,9,2.00,1,0.67,0,2,0,2,2,0,0.00,0.00,hudson.security.AuthorizationStrategy,137.79,0,0,0,228.63,0,56,0.29,2,2,0,2,0
"Jenkins","hudson.security","ACLTest$DoNotBotherMe$ACL",1,0.00,1.00,3,0.03,460.36,1,0,10,1,1,132.23,0,6,1.00,1,0.00,0,0,0,1,1,0,0.00,0.00,java.lang.Object,132.23,0,0,0,95.91,0,23,0.00,1,1,0,2,0
"Jenkins","hudson.util","AWTProblem",1,1.00,1.00,5,0.03,295.16,2,1,2,1,1,146.09,3,8,1.00,1,0.75,0,3,1,1,3,1,0.00,0.00,hudson.util.BootFailure,125.48,0,0,0,75.00,0,23,0.00,1,0,0,0,0
"Jenkins","hudson","AbortException",2,1.00,1.00,5,0.02,144.06,3,1,1,2,31,127.27,11,8,2.00,1,0.50,0,1,2,0,1,2,0.00,0.00,java.io.IOException,145.14,0,0,0,66.53,0,23,0.00,2,0,31,0,0
"Jenkins","hudson","AboutJenkins",5,0.00,1.00,11,0.08,792.61,5,0,5,5,1,192.45,5,21,5.00,1,0.50,0,1,0,1,1,1,0.00,0.00,hudson.model.ManagementLink,142.45,0,0,0,235.72,0,68,0.25,5,5,0,0,0
"Jenkins","hudson","AboutJenkinsTest",1,0.00,1.00,15,0.31,7687.76,2,1,13,2,1,96.53,0,28,0.00,1,0.00,0,0,1,1,1,2,1.00,0.00,java.lang.Object,96.53,1,0,1,930.52,3,166,0.00,1,0,0,0,0
"Jenkins","hudson.model","AbstractBuild",50,0.06,2.22,280,3.66,134610.76,61,11,65,54,164,99.86,275,359,778.00,7,0.43,3,3,9,30,3,63,0.03,1.00,hudson.model.Run,117.73,4,1,4,10987.32,12,2235,0.09,111,41,149,0,11
"Jenkins","hudson.model","AbstractBuild$AbstractBuildExecution",22,0.21,3.41,240,3.56,183361.00,25,3,65,22,27,123.15,77,286,206.00,11,0.50,0,1,8,27,1,22,0.14,0.00,hudson.model.Runner,102.54,0,0,0,10669.64,7,1873,0.00,75,14,0,2,11
"Jenkins","hudson.model","AbstractBuild$AbstractRunner",0,0.00,0.00,1,0.00,8.00,0,0,65,0,0,171.00,4,2,0.00,0,0.50,0,1,0,0,1,1,0.00,0.00,hudson.model.AbstractBuildExecution,171.00,0,0,0,8.00,0,4,0.00,0,0,0,3,0
"Jenkins","hudson.model","AbstractBuild$DependencyChange",2,0.60,2.00,20,0.23,10452.81,7,5,65,2,2,55.78,21,25,2.00,3,0.00,0,0,1,2,1,3,0.50,0.00,java.lang.Object,104.26,0,0,0,680.99,0,150,0.00,4,1,0,3,0
"Jenkins","hudson.model","AbstractBuild$Iterable<AbstractBuild<?,?>>",1,0.00,1.00,3,0.07,1625.47,1,0,65,1,3,127.92,0,5,1.00,1,0.00,0,0,0,3,1,0,0.00,0.00,java.lang.Object,127.92,0,0,0,221.65,0,49,0.00,1,1,0,1,0
"Jenkins","hudson.model","AbstractBuild$Iterable<AbstractBuild<?,?>>$AdaptedIterator<Integer,AbstractBuild<?,?>>",1,0.00,1.00,3,0.02,369.20,1,0,65,1,1,132.99,0,5,1.00,1,0.00,0,0,0,1,1,0,0.00,0.00,java.lang.Object,132.99,0,0,0,70.32,0,18,0.00,1,1,0,1,0
"Jenkins","hudson.model","AbstractBuild$LazyBuildMixIn.RunMixIn<P,R>",1,0.00,1.00,3,0.01,109.62,1,0,65,1,0,137.14,0,5,1.00,1,0.00,0,0,0,0,1,0,0.00,0.00,java.lang.Object,137.14,0,0,0,36.54,1,11,0.00,1,1,0,19,0
"Jenkins","hudson.cli","AbstractBuildRangeCommand",2,0.00,1.00,7,0.08,974.20,4,2,6,2,3,152.65,6,11,2.00,1,0.50,0,1,0,3,1,1,0.50,0.00,hudson.cli.CLICommand,132.04,0,0,0,235.93,0,59,0.04,2,2,0,0,1
"Jenkins","hudson.model","AbstractCIBase",14,0.28,2.21,67,1.38,73151.21,17,3,14,17,14,139.69,42,88,46.00,9,0.40,2,2,7,12,2,23,0.07,1.00,hudson.model.Node,119.08,3,1,3,4135.51,0,746,0.00,31,7,5,0,3
"Jenkins","hudson.model","AbstractCIBase$Runnable",1,0.00,3.00,11,0.09,2988.30,1,0,14,1,0,104.53,0,13,1.00,3,0.00,0,0,1,0,1,0,0.00,0.00,java.lang.Object,104.53,0,0,0,284.60,1,58,0.00,3,0,0,2,0
"Jenkins","hudson.model","AbstractCIBase$Runnable_0",1,0.00,6.00,27,0.31,13552.81,1,0,14,1,1,66.78,5,27,0.00,6,0.00,0,0,1,1,1,6,0.00,0.00,java.lang.Object,84.66,0,0,0,939.20,2,159,0.00,6,0,0,2,0
"Jenkins","hudson.slaves","AbstractCloudComputer",3,0.00,1.67,13,0.13,2594.59,3,0,7,3,4,145.91,10,24,4.00,3,0.80,0,4,1,3,4,3,0.00,0.00,hudson.slaves.SlaveComputer,125.30,0,0,0,385.30,2,89,0.04,5,2,2,0,1
"Jenkins","hudson.slaves","AbstractCloudImpl",5,0.25,1.40,15,0.13,2181.82,6,1,0,5,2,132.57,21,25,0.00,2,0.60,1,3,3,1,3,3,0.80,0.33,hudson.slaves.Cloud,132.34,0,0,0,400.41,0,104,0.00,7,2,1,0,1
"Jenkins","hudson.slaves","AbstractCloudSlave",6,1.00,1.33,19,0.35,7790.02,7,1,12,7,9,149.23,21,39,10.00,3,0.75,0,3,5,8,3,6,0.17,0.00,hudson.model.Slave,128.62,1,0,1,1054.44,1,223,0.03,8,1,1,0,1
"Jenkins","hudson.tools","AbstractCommandInstaller",6,0.30,1.17,23,0.27,8127.19,8,2,7,6,10,168.39,15,32,14.00,2,0.25,2,1,1,6,1,3,0.25,2.00,hudson.tools.ToolInstaller,128.50,0,0,0,796.84,1,169,0.00,7,5,4,0,3
"Jenkins","hudson.tools","AbstractCommandInstaller$Descriptor",2,0.00,2.00,9,0.12,2102.48,2,0,7,2,3,124.59,0,17,2.00,2,0.67,0,2,0,3,2,0,0.00,0.00,hudson.tools.ToolInstallerDescriptor,124.59,0,0,0,352.25,0,84,0.00,4,2,0,3,0
"Jenkins","hudson.model","AbstractDescribableImpl",1,0.00,1.00,3,0.04,611.27,1,0,2,1,30,81.26,9,6,1.00,1,0.00,59,0,0,3,1,2,0.00,59.00,java.lang.Object,131.26,0,1,0,130.84,1,36,0.00,1,1,27,0,0
"Jenkins","jenkins.util.groovy","AbstractGroovyViewModule",4,0.27,1.00,18,0.15,1914.54,9,5,6,4,0,167.32,10,23,0.00,1,0.50,0,1,2,0,1,1,0.40,0.00,groovy.lang.GroovyObjectSupport,127.44,0,0,0,453.99,0,114,0.00,4,2,0,0,0
"Jenkins","hudson.model","AbstractItem",50,0.07,2.32,354,5.67,326013.43,59,9,72,54,42,91.37,260,507,678.00,21,0.17,9,2,22,23,2,112,0.04,4.50,hudson.model.Actionable,109.25,4,1,4,17018.18,6,3044,0.03,116,28,21,0,24
"Jenkins","hudson.model","AbstractItem$NotReallyRoleSensitiveCallable<Void,IOException>",1,0.00,1.00,4,0.03,359.70,1,0,72,1,0,128.41,0,6,1.00,1,0.00,0,0,0,0,1,0,0.00,0.00,java.lang.Object,128.41,0,0,0,89.92,3,22,0.00,1,1,0,2,0
"Jenkins","hudson.model","AbstractItem$NotReallyRoleSensitiveCallable<Void,IOException>_0",1,0.00,1.00,4,0.03,359.70,1,0,72,1,0,128.41,0,7,1.00,1,0.00,0,0,0,0,1,0,0.00,0.00,java.lang.Object,128.41,0,0,0,89.92,3,22,0.00,1,1,0,2,0
"Jenkins","hudson.model","AbstractItem$Replacer",2,0.00,1.50,9,0.06,931.32,3,1,72,2,2,127.44,1,13,0.00,2,0.00,0,0,1,2,1,1,1.00,0.00,java.lang.Object,127.44,0,0,0,170.01,0,46,0.00,3,1,0,2,0
"Jenkins","hudson.cli.handlers","AbstractItemOptionHandler",2,0.00,1.00,5,0.05,693.17,2,0,6,2,2,179.66,4,8,2.00,1,0.67,0,2,1,2,2,1,0.00,0.00,hudson.cli.handlers.GenericItemOptionHandler,139.77,0,0,0,150.99,0,41,0.33,2,1,0,0,0
"Jenkins","hudson","AbstractItemSecurity1114Test",1,0.00,4.00,26,0.46,17399.28,2,1,16,2,5,105.12,3,39,0.00,4,0.00,0,0,1,5,1,4,1.00,0.00,java.lang.Object,84.51,1,0,1,1373.28,0,236,0.00,4,0,0,0,0
"Jenkins","hudson","AbstractItemSecurity1114Test$BypassAccess",4,0.00,1.00,12,0.10,1281.71,4,0,16,4,3,133.47,0,24,4.00,1,0.00,0,0,0,3,1,0,0.00,0.00,java.lang.Object,133.47,0,1,0,295.06,0,77,0.00,4,4,0,3,0
"Jenkins","hudson.model","AbstractItemTest",7,0.00,1.29,48,0.54,12249.80,7,0,7,7,1,166.38,10,69,7.00,2,0.00,0,0,7,1,1,8,0.00,0.00,java.lang.Object,116.38,0,0,0,1614.97,3,345,0.00,9,0,0,0,0
"Jenkins","hudson.model","AbstractItemTest$NameNotEditableItem",3,0.00,1.00,7,0.05,515.83,3,0,7,3,1,142.17,0,13,3.00,1,0.75,0,3,1,1,3,1,0.00,0.00,hudson.model.AbstractItem,142.17,0,0,0,143.01,0,42,0.08,3,2,0,1,0
"Jenkins","hudson.model","AbstractItemTest$StubAbstractItem",3,0.00,1.00,6,0.04,489.61,3,0,7,3,1,192.35,4,13,3.00,1,0.75,0,3,2,1,3,2,0.00,0.00,hudson.model.AbstractItem,142.35,0,0,0,132.31,0,39,0.08,3,1,0,1,0
"Jenkins","jenkins.model.lazy","AbstractLazyLoadRunMapTest",24,0.04,1.21,201,3.75,155285.61,34,10,21,26,4,107.26,21,286,0.00,2,0.00,0,0,24,4,1,17,0.14,0.00,java.lang.Object,107.26,2,0,2,11261.56,7,2201,0.00,29,0,0,0,0
"Jenkins","jenkins.model.lazy","AbstractLazyLoadRunMapTest$FakeMapBuilder",1,0.00,1.00,4,0.07,2294.06,1,0,21,1,1,122.08,0,6,1.00,1,0.00,0,0,0,1,1,1,0.00,0.00,java.lang.Object,122.08,0,0,0,222.91,1,48,0.00,1,1,0,12,0
"Jenkins","jenkins.model.lazy","AbstractLazyLoadRunMapTest$FakeMapBuilder$FakeMap",1,0.00,1.00,3,0.04,764.63,1,0,21,1,1,130.50,0,6,1.00,1,0.00,0,0,0,1,1,1,0.00,0.00,java.lang.Object,130.50,0,0,0,114.69,0,27,0.00,1,1,0,2,0
