System,Package,Class,Name, COMP, NOCL, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, VDEC, TDN, NAND, LOOP, MOD, NOPR, EXCT, MDN, EXCR, HVOL, VREF, NOC, NOA, CAST, HDIF, NEXP
"Jenkins","hudson.security","ACLContext","ACLContext",1,8,2,13,11,188.88,0.01,1,0,0,3,0,0,7,0,3,6,0,0,0,44.97,2,2,1,0,4.20,1
"Jenkins","hudson.slaves","CloudTest$ACloud","ACloud",1,0,2,13,9,131.87,0.01,1,0,0,3,0,0,8,0,1,5,0,0,0,41.21,2,0,2,0,3.20,0
"Jenkins","hudson.util","ProcessTree$AIX","AIX",1,0,2,10,8,75.00,0.01,0,0,0,3,0,0,5,0,1,5,0,0,0,30.00,1,0,1,0,2.50,1
"Jenkins","hudson.util","ProcessTree$AIX$AIXProcess","AIXProcess",6,66,21,191,51,16807.86,0.36,2,8,3,29,1,5,82,0,21,109,0,2,0,1083.43,26,75,1,4,15.51,44
"Jenkins","hudson.util","AWTProblem","AWTProblem",1,0,3,16,11,265.68,0.02,1,0,0,4,0,0,8,0,5,8,0,0,0,55.35,3,0,1,0,4.80,2
"Jenkins","hudson","AbortException","AbortException",1,0,1,4,4,12.00,0.00,0,0,0,2,0,0,1,0,1,3,0,0,0,8.00,0,0,0,0,1.50,0
"Jenkins","hudson","AbortException","AbortException",1,4,2,10,8,75.00,0.01,1,0,0,3,0,0,5,0,1,5,0,0,0,30.00,1,1,1,0,2.50,1
"Jenkins","hudson.slaves","SlaveComputer$AbsolutePath","AbsolutePath",1,0,2,12,10,179.38,0.01,1,0,0,3,0,0,6,0,6,6,0,0,0,39.86,2,0,1,0,4.50,1
"Jenkins","hudson.model","AbstractBuild","AbstractBuild",1,0,2,12,10,119.59,0.01,1,0,0,3,0,0,6,0,1,6,0,0,0,39.86,1,0,1,0,3.00,1
"Jenkins","hudson.model","AbstractBuild","AbstractBuild",1,0,2,15,12,172.85,0.02,2,0,0,3,0,0,9,0,1,6,0,0,0,53.77,2,0,2,0,3.21,0
"Jenkins","hudson.model","AbstractBuild","AbstractBuild",1,0,2,13,10,115.16,0.01,2,0,0,3,0,0,8,0,1,5,0,0,0,43.19,2,0,2,0,2.67,0
"Jenkins","hudson.slaves","AbstractCloudComputer","AbstractCloudComputer",1,0,2,10,8,75.00,0.01,1,0,0,3,0,0,5,0,1,5,0,0,0,30.00,1,0,1,0,2.50,1
"Jenkins","hudson.slaves","AbstractCloudImpl","AbstractCloudImpl",1,0,3,16,10,159.45,0.02,1,0,1,4,0,0,9,0,2,7,0,0,0,53.15,2,0,2,0,3.00,2
"Jenkins","hudson.slaves","AbstractCloudSlave","AbstractCloudSlave",1,0,2,21,16,352.80,0.03,2,0,0,4,0,0,14,0,1,7,0,0,0,84.00,3,0,3,0,4.20,0
"Jenkins","hudson.slaves","AbstractCloudSlave","AbstractCloudSlave",1,4,2,47,31,1829.51,0.08,8,0,0,6,0,0,33,0,2,14,0,0,0,232.85,9,1,9,0,7.86,0
"Jenkins","hudson.slaves","AbstractCloudSlave","AbstractCloudSlave",1,4,2,47,30,1902.65,0.08,8,0,0,6,0,0,33,0,2,14,0,0,0,230.62,9,1,9,0,8.25,0
"Jenkins","hudson.tools","AbstractCommandInstaller","AbstractCommandInstaller",1,0,4,26,13,618.50,0.03,1,0,0,5,0,0,15,0,5,11,0,0,0,96.21,5,0,3,0,6.43,3
"Jenkins","jenkins.util.groovy","AbstractGroovyViewModule","AbstractGroovyViewModule",1,0,6,48,20,1172.90,0.07,4,1,0,7,0,0,21,0,6,27,0,0,0,207.45,10,0,1,0,5.65,9
"Jenkins","hudson.model","AbstractItem","AbstractItem",1,0,3,18,13,285.46,0.02,2,0,1,4,0,0,10,0,11,8,0,0,0,66.61,3,0,2,0,4.29,2
"Jenkins","hudson.cli.handlers","AbstractItemOptionHandler","AbstractItemOptionHandler",1,0,2,19,15,296.92,0.02,4,0,0,3,0,0,12,0,1,7,0,0,0,74.23,3,0,3,0,4.00,0
"Jenkins","hudson","AbstractMarkupText","AbstractMarkupText",1,2,1,3,3,4.75,0.00,0,0,0,1,0,0,1,0,0,2,0,0,0,4.75,0,2,0,0,1.00,0
"Jenkins","hudson.model","AbstractProject","AbstractProject",2,2,7,52,28,1666.55,0.08,3,4,1,9,1,1,24,0,42,28,0,1,0,249.98,8,2,2,0,6.67,12
"Jenkins","hudson.cli.handlers","AbstractProjectOptionHandler","AbstractProjectOptionHandler",1,0,2,19,15,296.92,0.02,4,0,0,3,0,0,12,0,1,7,0,0,0,74.23,3,0,3,0,4.00,0
"Jenkins","jenkins.model","AbstractTopLevelItem","AbstractTopLevelItem",1,0,2,13,10,115.16,0.01,2,0,0,3,0,0,8,0,1,5,0,0,0,43.19,2,0,2,0,2.67,0
"Jenkins","hudson.util","RobustReflectionConverterTest$AcceptOnlySpecificKeyword","AcceptOnlySpecificKeyword",1,0,2,14,12,245.93,0.02,1,0,0,3,0,0,7,0,7,7,0,0,0,50.19,2,0,1,0,4.90,1
"Jenkins","hudson.security","AccessDeniedException2","AccessDeniedException2",1,0,4,45,23,1113.22,0.07,4,2,0,6,0,0,25,0,1,20,0,0,0,203.56,11,0,3,0,5.47,7
"Jenkins","hudson.security","AccessDeniedException2","AccessDeniedException2",1,0,2,14,11,124.54,0.02,2,0,1,3,0,0,9,0,7,5,0,0,0,48.43,2,0,2,0,2.57,0
"Jenkins","hudson.security","AccountCreationFailedException","AccountCreationFailedException",1,0,2,10,8,75.00,0.01,1,0,0,3,0,0,5,0,1,5,0,0,0,30.00,1,0,1,0,2.50,1
"Jenkins","hudson.util","AdaptedIterator","AdaptedIterator",1,0,2,18,15,369.20,0.02,3,1,1,3,0,0,7,0,1,11,0,0,0,70.32,1,0,1,0,5.25,2
"Jenkins","hudson.util","AdaptedIterator","AdaptedIterator",1,0,2,17,15,464.92,0.02,3,0,0,3,0,0,7,0,3,10,0,0,0,66.42,2,0,1,0,7.00,1
"Jenkins","hudson.model","Run$AddArtifacts","AddArtifacts",1,0,3,19,11,301.26,0.02,1,0,0,4,0,0,11,0,7,8,0,0,0,65.73,4,0,2,0,4.58,2
"Jenkins","jenkins.security.s2m","AdminCallableMonitor","AdminCallableMonitor",1,0,2,8,7,44.92,0.01,0,0,0,3,0,0,3,0,3,5,0,0,0,22.46,0,0,0,0,2.00,1
"Jenkins","jenkins.security.s2m","AdminFilePathFilter","AdminFilePathFilter",1,0,2,12,10,179.38,0.01,1,0,0,3,0,0,6,0,3,6,0,0,0,39.86,2,0,1,0,4.50,1
"Jenkins","jenkins.security.s2m","AdminWhitelistRule","AdminWhitelistRule",1,5,9,116,39,4966.16,0.20,5,7,5,18,2,0,54,0,8,62,0,0,0,613.11,12,5,0,0,8.10,27
"Jenkins","hudson.util","AdministrativeError","AdministrativeError",1,12,6,41,17,1051.22,0.06,2,1,1,7,0,0,23,0,7,18,0,0,0,167.59,7,1,4,0,6.27,6
"Jenkins","hudson.model","AdministrativeMonitor","AdministrativeMonitor",1,0,2,16,11,199.26,0.02,0,1,1,3,0,0,6,0,1,10,0,0,0,55.35,1,0,0,0,3.60,3
"Jenkins","hudson.model","AdministrativeMonitor","AdministrativeMonitor",1,0,2,12,10,179.38,0.01,1,0,0,3,0,0,6,0,3,6,0,0,0,39.86,2,0,1,0,4.50,1
"Jenkins","jenkins.management","AdministrativeMonitorsDecorator","AdministrativeMonitorsDecorator",1,3,4,22,11,317.11,0.03,0,1,0,5,0,0,10,0,3,12,0,0,0,76.11,3,3,0,0,4.17,3
"Jenkins","hudson.model","Items$AllItemsIterable","AllItemsIterable",1,0,4,31,17,957.37,0.04,4,0,0,5,0,0,17,0,7,14,0,0,0,126.71,6,0,3,0,7.56,3
"Jenkins","hudson.model","Items$AllItemsIterable$AllItemsIterator","AllItemsIterator",1,2,2,10,9,79.25,0.01,0,1,0,3,0,0,4,0,5,6,0,0,0,31.70,2,2,0,0,2.50,1
"Jenkins","hudson.model","AllView","AllView",1,0,2,12,10,119.59,0.01,1,0,0,3,0,0,6,0,8,6,0,0,0,39.86,1,0,1,0,3.00,1
"Jenkins","hudson.model","AllView","AllView",1,0,3,18,12,322.65,0.02,2,0,1,4,0,0,10,0,1,8,0,0,0,64.53,3,0,2,0,5.00,2
"Jenkins","hudson.slaves","RetentionStrategy$Always","Always",1,3,1,6,6,31.02,0.01,0,0,0,2,0,0,2,0,2,4,0,0,0,15.51,0,1,0,0,2.00,0
"Jenkins","hudson.console","AnnotatedLargeText","AnnotatedLargeText",1,0,3,25,18,443.05,0.03,3,0,0,4,0,0,17,0,2,8,0,0,0,104.25,5,0,4,0,4.25,1
"Jenkins","hudson.console","AnnotatedLargeText","AnnotatedLargeText",1,0,3,24,17,428.07,0.03,3,0,0,4,0,0,16,0,1,8,0,0,0,98.10,5,0,4,0,4.36,1
"Jenkins","jenkins.util","AntClassLoader","AntClassLoader",1,3,2,8,7,44.92,0.01,0,0,1,3,0,0,3,0,1,5,0,0,0,22.46,0,1,0,0,2.00,1
"Jenkins","jenkins.util","AntClassLoader","AntClassLoader",1,13,5,26,16,436.80,0.03,1,0,1,6,0,0,14,0,1,12,0,0,0,104.00,5,2,2,0,4.20,4
"Jenkins","jenkins.util","AntClassLoader","AntClassLoader",1,9,5,26,15,277.03,0.03,3,0,3,6,0,0,15,0,19,11,0,0,0,101.58,4,2,3,0,2.73,4
"Jenkins","jenkins.util","AntClassLoader","AntClassLoader",2,16,6,34,20,598.28,0.05,3,0,4,9,0,1,19,0,1,15,0,1,0,146.95,5,1,4,0,4.07,4
"Jenkins","jenkins.util","AntClassLoader","AntClassLoader",1,11,4,20,13,180.91,0.02,2,0,3,5,0,0,11,0,1,9,0,0,0,74.01,2,1,2,0,2.44,3
"Jenkins","jenkins.util","AntClassLoader","AntClassLoader",1,12,2,17,13,167.75,0.02,2,0,1,3,0,0,12,0,1,5,0,0,0,62.91,3,1,3,0,2.67,0
"Jenkins","hudson","ClassicPluginStrategy$AntClassLoader2","AntClassLoader2",1,0,2,11,9,83.69,0.01,1,0,0,3,0,0,6,0,1,5,0,0,0,34.87,1,0,1,0,2.40,0
"Jenkins","jenkins.util","AntWithFindResourceClassLoader","AntWithFindResourceClassLoader",2,0,7,55,33,2061.00,0.09,6,3,0,10,1,2,26,0,3,29,0,1,1,277.44,6,0,2,1,7.43,7
"Jenkins","hudson.model","AperiodicWork$AperiodicWorkExtensionListListener","AperiodicWorkExtensionListListener",1,0,2,14,12,175.66,0.02,2,1,0,3,0,0,7,0,2,7,0,0,0,50.19,2,0,1,0,3.50,1
"Jenkins","hudson.model","Api","Api",1,0,2,12,10,179.38,0.01,1,0,0,3,0,0,6,0,3,6,0,0,0,39.86,2,0,1,0,4.50,1
"Jenkins","jenkins.security.apitoken","ApiTokenStats","ApiTokenStats",1,0,2,10,9,79.25,0.01,0,0,1,3,0,0,4,0,9,6,0,0,0,31.70,0,0,0,0,2.50,1
"Jenkins","jenkins.security.apitoken","ApiTokenStore","ApiTokenStore",1,0,2,9,8,67.50,0.01,0,0,1,3,0,0,3,0,23,6,0,0,0,27.00,0,0,0,0,2.50,1
"Jenkins","lib.form","RepeatableTest$Apple","Apple",1,0,3,18,14,308.40,0.02,0,0,0,1,0,0,9,0,3,9,0,0,0,68.53,2,0,1,0,4.50,2
"Jenkins","hudson","FilePath$Archive","Archive",1,0,4,27,13,499.56,0.03,3,0,0,5,0,0,16,0,6,11,0,0,0,99.91,6,0,3,0,5.00,3
"Jenkins","hudson.util","Area","Area",1,0,3,20,11,456.64,0.02,0,0,0,4,0,0,11,0,5,9,0,0,0,69.19,4,0,2,0,6.60,2
"Jenkins","hudson.cli.declarative","MethodBinder$ArgumentImpl","ArgumentImpl",1,0,3,20,12,394.35,0.02,1,0,0,4,0,0,11,0,5,9,0,0,0,71.70,4,0,2,0,5.50,2
