System,Name, No. Classes, NOS, AVCC, HBUG, HEFF, HLTH, HVOL, MI, CCML, NLOC, TCC, MAXCC, DIST, FIN, INST, ABST, MINC, CCOM, FOUT, No. Methods
"Jenkins","JHawkDefaultPackage",2,56,1.00,0.06,837.57,50,189.49,129.75,40,100,2,1,0.00,0,1.00,0.00,96.37,12,1,2
"Jenkins","benchmarks",3,89,1.00,0.23,4158.55,135,696.85,90.83,70,225,2,1,1.00,0,0.00,0.00,83.57,4,0,2
"Jenkins","hudson",175,10395,1.58,58.64,2121495.82,34697,175911.58,53.57,78843,178320,970,19,0.12,3,0.81,0.06,98.23,992,13,614
"Jenkins","hudson.bugs",4,296,1.62,1.52,37190.59,797,4564.68,33.52,396,632,13,4,0.00,0,1.00,0.00,83.51,23,5,8
"Jenkins","hudson.bugs.seasar",1,46,1.00,0.22,5869.57,126,648.25,58.32,248,96,1,1,0.00,0,1.00,0.00,79.30,19,2,1
"Jenkins","hudson.cli",158,33070,1.54,112.68,4641710.59,62368,338025.48,78.02,79142,168351,1198,36,0.11,2,0.88,0.02,80.75,2612,14,777
"Jenkins","hudson.cli.declarative",5,598,2.74,4.07,320943.64,1983,12217.62,43.78,3120,8890,74,20,0.12,1,0.88,0.00,88.60,68,7,27
"Jenkins","hudson.cli.handlers",12,813,1.26,2.42,64994.77,1561,7248.51,140.41,3495,7115,59,5,0.25,2,0.67,0.08,100.45,59,4,47
"Jenkins","hudson.console",51,2137,1.47,12.18,438122.81,7224,36534.24,104.59,20088,27325,202,9,0.16,2,0.82,0.02,99.50,232,9,137
"Jenkins","hudson.core",2,42,1.00,0.16,2633.41,95,468.40,109.75,32,96,1,1,1.00,0,0.00,0.00,83.51,5,0,1
"Jenkins","hudson.diagnosis",29,1377,1.58,6.75,225098.02,4088,20242.21,141.03,7609,18786,136,10,0.06,1,0.88,0.07,99.10,118,7,86
"Jenkins","hudson.init",10,3210,1.47,2.52,78726.90,1635,7551.55,107.19,9503,12638,75,6,0.28,3,0.62,0.10,78.94,222,5,51
"Jenkins","hudson.init.impl",1,32,1.00,0.04,446.83,33,128.95,79.83,104,60,1,1,1.00,0,0.00,0.00,93.99,5,0,1
"Jenkins","hudson.jobs",2,124,1.17,0.69,13630.14,397,2083.99,114.14,112,364,7,2,0.00,0,1.00,0.00,96.00,5,1,6
"Jenkins","hudson.logging",3,315,1.06,2.59,98940.42,1454,7762.75,126.91,327,1415,17,2,0.00,0,1.00,0.00,93.53,16,1,16
"Jenkins","hudson.markup",3,59,1.00,0.17,2677.26,120,496.16,113.85,104,148,3,1,0.00,0,1.00,0.00,100.06,5,1,3
"Jenkins","hudson.model",507,125303,1.79,247.88,10539951.70,147595,743645.00,120.28,514857,855568,5840,31,0.17,9,0.74,0.10,84.31,8875,25,3261
"Jenkins","hudson.model.labels",6,281,1.11,2.26,65832.45,1322,6786.49,99.88,320,864,21,2,0.00,0,1.00,0.00,100.35,32,2,19
"Jenkins","hudson.model.listeners",7,201,1.12,0.89,35563.37,531,2679.60,72.15,315,698,9,2,0.00,0,1.00,0.00,90.24,14,1,8
"Jenkins","hudson.model.queue",19,632,1.09,3.15,77145.15,1943,9463.88,60.28,539,2230,50,2,0.00,0,1.00,0.00,104.41,35,3,46
